gene_id,Ht_1,Ht_2,Ht_3,St_1,St_2,St_3
ENSAPEG00000005535.1,17.3554,13.7445,6.65294,35.7809,24.6568,18.425
ENSAPEG00000005536.1,3.68043462847,2.7000040000000003,2.9506525247999997,2.1736650074,3.650930775919,2.96590014842
ENSAPEG00000005537.1,6.91913,6.59501,6.90699,1.63744,10.5111,7.68373
ENSAPEG00000005538.1,12.9275,11.8243,6.37984,6.79627,11.6517,13.9232
ENSAPEG00000005539.1,5.621160000000001,4.99975,3.0143999999999997,8.44994,6.13145,8.06153
ENSAPEG00000005540.1,0.602772,1.01117,0,0,0.658042,1.26167
ENSAPEG00000005541.1,11.0046,10.0274,7.59273,8.70687,10.9003,10.6091
ENSAPEG00000005542.1,26.15,33.3632,39.1904,22.8833,28.7578,29.8582
ENSAPEG00000005543.1,7.0332,5.68988,8.02167,2.44868,4.76717,9.23589
ENSAPEG00000005544.1,0,0,0,0,0,0
ENSAPEG00000005545.1,13.2551,13.613,20.9353,11.3529,19.768,16.6766
ENSAPEG00000005546.1,9.76609,6.9647,2.22294,23.8426,3.35836,9.38392
ENSAPEG00000005547.1,19.413050000000002,16.05489,16.8661,27.593799999999998,18.92918,18.81652
ENSAPEG00000005548.1,19.6227,13.4064,20.0341,13.9005,21.0677,22.9663
ENSAPEG00000005549.1,0.611834,0.703961,0,0.902323,0.448803,0.475528
ENSAPEG00000005550.1,164.865,74.0796,71.4159,78.3906,101.93,143.6
ENSAPEG00000005551.1,4.39851,3.40224,4.59322,5.27669,4.84049,5.37389
ENSAPEG00000005552.1,1.33005,0.957296,1.18389,0.840764,1.31449,1.45105
ENSAPEG00000005553.1,12.4317,8.9903,12.0219,9.36298,10.626,13.1377
ENSAPEG00000005554.1,63.8162,109.18,139.335,0,52.482,64.1219
ENSAPEG00000005555.1,10.6934,8.49609,8.72585,3.91478,7.85675,8.8331
ENSAPEG00000005556.1,15.9875,9.73289,12.7113,12.7977,11.9667,13.2483
ENSAPEG00000005558.1,0,0.0367989,0,0,0,0.076609
ENSAPEG00000005559.1,34.5439,29.966430000000003,32.80127,26.2193,33.544292,33.849
ENSAPEG00000005560.1,8.85226,8.48196,5.78249,7.77808,8.00718,12.14994
ENSAPEG00000005561.1,55.915884999999996,64.502353,30.8998,38.9428,47.2606,53.724244999999996
ENSAPEG00000005562.1,138.46685,81.622418,91.6273,107.793,96.145,108.17367
ENSAPEG00000005563.1,0,0.40123,0,0,0,0.49083
ENSAPEG00000005564.1,2.84555,1.003578,2.04087,1.45099,1.75042,1.14742
ENSAPEG00000005565.1,2.7384,1.08616,1.25042,0.44368,2.55639,1.81159
ENSAPEG00000005566.1,16.7719,14.4063,18.4117,14.796,17.5932,17.7222
ENSAPEG00000005567.1,2.6284,1.79702,0.958795,4.0945,1.81339,2.53728
ENSAPEG00000005568.1,3.0811,5.09813,3.12978,1.66955,5.28019,3.33473
ENSAPEG00000005569.1,0,0,0,0,0,0
ENSAPEG00000005570.1,3.35347,2.96051,3.09209,2.12262,3.77681,3.59761
ENSAPEG00000005571.1,7.64951,4.27419,2.23459,6.34722,4.5112,5.57114
ENSAPEG00000005572.1,2.073080000584667,2.307217,2.49624,2.89897,2.80262,2.98463
ENSAPEG00000005573.1,1.12681,0.623296,1.99582,0,0.754914,0.786783
ENSAPEG00000005574.1,2.37606,3.56902,4.88395,0,3.07594,4.09312
ENSAPEG00000005575.1,60.4604,48.9037,41.9183,37.125479999999996,47.960899999999995,60.8281
ENSAPEG00000005576.1,4.09608,3.12761,2.27071,3.0223,2.75076,3.59896
ENSAPEG00000005577.1,0.668315,0.83352,0,0,1.398,1.4556
ENSAPEG00000005578.1,1.53513,2.1585,3.56305,2.53827,2.42535,2.30989
ENSAPEG00000005579.1,1.77544,1.11228,1.78748,1.90252,2.07089,2.03467
ENSAPEG00000005580.1,11.3106,9.52601,14.0094,30.3923,5.37341,11.4204
ENSAPEG00000005581.1,0,0,5.32802,0,2.04483,4.06942
ENSAPEG00000005582.1,1.247,0.247324,1.61967,0,0.686694,0.927074
ENSAPEG00000005583.1,0,0,0,0,0,0
ENSAPEG00000005584.1,41.041879,28.4331028,34.380473,45.38647,48.890482,44.4719609
ENSAPEG00000005585.1,11.862,6.3098,14.5861,8.94015,5.5126,8.20691
ENSAPEG00000005586.1,14.778,10.1594,12.5847,21.2498,16.8894,15.5461
ENSAPEG00000005587.1,0.374291,0.773442,0,0,0.434781,0.665518
ENSAPEG00000005588.1,5.48475,8.21927,22.5402,24.4862,25.9407,6.28293
ENSAPEG00000005589.1,40.2456,35.9221,37.3595,134.75,44.0175,33.4543
ENSAPEG00000005590.1,46.0998,40.8193,45.977,56.5126,43.5449,49.224
ENSAPEG00000005591.1,57.3719,39.6762,44.4476,18.9602,24.2712,30.6477
ENSAPEG00000005592.1,3.04711,2.91324,1.97949,5.27372,3.48988,3.13112
ENSAPEG00000005593.1,4.927,2.39438,3.24285,2.90647,4.07109,4.53232
ENSAPEG00000005594.1,0.141703,93.1495,2.63799,0,0.0665301,33.257
ENSAPEG00000005595.1,23.311799999999998,31.5864,25.481299999999997,17.25758,19.628639999999997,25.64769
ENSAPEG00000005596.1,1.6477499999999998,1.184818,0.528983,0.561516,1.82807,1.8968434
ENSAPEG00000005598.1,0,0.0329399,0,0,0.0457918,0.102008
ENSAPEG00000005599.1,0.141135,0.0714065,0,0,0.132531,0.0492918
ENSAPEG00000005600.1,21.516089,19.799368,20.16253,11.1956,18.601997,21.139459
